ts,signal_id,token_symbol,chain,action,token_address,tokens_amount,usdc_amount,price_actual,slippage_pct,price_impact_pct,tx_hash,status,note
2026-05-26T15:40:41.188227,YiIong Ma_20260524_232728,YiIong Ma,solana,buy,8Zrbh9DJFgY5H6jqZb3CWeMF6wLGMHiDKvkK4qSTpump,57748.291288,10.00,0.0001731653,1.00,0.00,DRY_RUN,dry_run,
2026-05-26T15:40:41.484315,DEUS_20260526_041831,DEUS,solana,buy,J5APsQVx1hB6vPiVsMrTaWpocLR3oJBJ6N6Pt19pjKme,524.116126,10.00,0.019079741,0.50,0.00,DRY_RUN,dry_run,
2026-05-26T15:40:41.778575,Print_20260526_100759,Print,solana,buy,Dr3b1sR2L5tVowew9G2RomFunu514czR2JWYxXpkFTRD,469.135930,10.00,0.021315784,0.50,0.00,DRY_RUN,dry_run,
2026-05-26T15:41:42.374567,DEUS_20260526_041831,DEUS,solana,tp1,J5APsQVx1hB6vPiVsMrTaWpocLR3oJBJ6N6Pt19pjKme,209.646450,3.99,0.019042354,0.50,0.00,DRY_RUN,dry_run,
2026-05-26T15:42:52.717216,Print_20260526_100759,Print,solana,tp1,Dr3b1sR2L5tVowew9G2RomFunu514czR2JWYxXpkFTRD,187.654372,4.00,0.021298454,0.50,0.00,DRY_RUN,dry_run,
2026-05-26T15:44:53.125909,Print_20260526_100759,Print,solana,tp1_trail,Dr3b1sR2L5tVowew9G2RomFunu514czR2JWYxXpkFTRD,281.481558,6.02,0.021380491,0.50,0.00,DRY_RUN,dry_run,pnl=+0.01USDC
2026-05-26T15:44:53.435967,Print_20260526_141412,Print,solana,buy,Dr3b1sR2L5tVowew9G2RomFunu514czR2JWYxXpkFTRD,467.128709,10.00,0.021407376,0.50,0.00,DRY_RUN,dry_run,
2026-05-26T15:55:44.268413,DEUS_20260526_041831,DEUS,solana,tp1_trail,J5APsQVx1hB6vPiVsMrTaWpocLR3oJBJ6N6Pt19pjKme,314.469676,6.00,0.019091291,0.50,0.00,DRY_RUN,dry_run,pnl=-0.00USDC
2026-05-26T15:55:44.732458,DEUS_20260526_083731,DEUS,solana,buy,J5APsQVx1hB6vPiVsMrTaWpocLR3oJBJ6N6Pt19pjKme,523.291005,10.00,0.019109826,0.50,0.00,DRY_RUN,dry_run,
2026-05-26T16:00:05.472081,YiIong Ma_20260524_232728,YiIong Ma,solana,tp1,8Zrbh9DJFgY5H6jqZb3CWeMF6wLGMHiDKvkK4qSTpump,28874.145644,5.95,0.00020618182,1.00,0.02,DRY_RUN,dry_run,
2026-05-26T17:01:52.373078,YiIong Ma_20260524_232728,YiIong Ma,solana,exit_vol_crash,8Zrbh9DJFgY5H6jqZb3CWeMF6wLGMHiDKvkK4qSTpump,28874.145644,5.89,0.00020386761,1.00,0.02,DRY_RUN,dry_run,pnl=+1.84USDC
2026-05-26T21:05:46.049909,DEUS_20260526_083731,DEUS,solana,tp1,J5APsQVx1hB6vPiVsMrTaWpocLR3oJBJ6N6Pt19pjKme,209.316402,4.23,0.020210944,0.50,0.00,DRY_RUN,dry_run,
2026-05-26T21:18:46.853421,Print_20260526_141412,Print,solana,tp1,Dr3b1sR2L5tVowew9G2RomFunu514czR2JWYxXpkFTRD,186.851484,4.20,0.02249471,0.50,0.00,DRY_RUN,dry_run,
2026-05-26T21:58:58.387515,Luce / SOL_20260526_215820,Luce / SOL,solana,buy,8QWQmAobvgWgVUPFfGFqiiKY3222xmtTgUT2wFMfpump,131861.105820,10.00,7.5837374e-05,2.00,0.00,DRY_RUN,dry_run,
2026-05-26T22:02:19.029319,Luce / SOL_20260526_215820,Luce / SOL,solana,exit_bsr_collapse,8QWQmAobvgWgVUPFfGFqiiKY3222xmtTgUT2wFMfpump,131861.105820,10.21,7.7398835e-05,2.00,0.03,DRY_RUN,dry_run,pnl=+0.21USDC
2026-05-26T22:33:30.363947,Print_20260526_141412,Print,solana,tp1_trail,Dr3b1sR2L5tVowew9G2RomFunu514czR2JWYxXpkFTRD,280.277225,6.55,0.023369137,0.50,0.00,DRY_RUN,dry_run,pnl=+0.75USDC
2026-05-26T22:33:30.829140,Print_20260526_192917,Print,solana,buy,Dr3b1sR2L5tVowew9G2RomFunu514czR2JWYxXpkFTRD,427.413527,10.00,0.023396545,0.50,0.00,DRY_RUN,dry_run,
2026-05-26T22:51:32.189691,67 / SOL_20260526_225035,67 / SOL,solana,buy,9AvytnUKsLxPxFHFqS6VLxaxt5p6BhYNr53SD2Chpump,2239.310842,10.00,0.0044656596,2.00,0.00,DRY_RUN,dry_run,
2026-05-26T23:01:33.009556,67 / SOL_20260526_225035,67 / SOL,solana,exit_bsr_collapse,9AvytnUKsLxPxFHFqS6VLxaxt5p6BhYNr53SD2Chpump,2239.310842,9.68,0.0043221775,2.00,0.00,DRY_RUN,dry_run,pnl=-0.32USDC
2026-05-26T23:29:04.225116,DMT_20260526_232810,DMT,solana,buy,JjhMj5xSSDnih6fM9nwxPgVUesJTVvuKmRfttE9ENAT,87754917.155745,10.00,1.1395373e-07,2.00,0.00,DRY_RUN,dry_run,
